_id,taskName,description,start_date,created_at,finish_date,created_by,finished_by,assigned_to,priority,parent_id,status
5820b8befc13ae512500236f,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,11/1/2017,3:48 PM,2/17/2017,5820b675fc13ae5137001da1,5820b675fc13ae5137001dfa,5820b675fc13ae5137001dda,normal,5820b81bfc13ae513700247c,done
5820b8befc13ae5125002370,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,10/5/2017,12:30 PM,1/11/2017,5820b675fc13ae5137001e29,5820b675fc13ae5137001dd1,5820b675fc13ae5137001d6f,low,5820b81bfc13ae513700248d,failed
5820b8befc13ae5125002371,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,12/1/2017,12:28 PM,1/24/2017,5820b675fc13ae5137001e75,5820b675fc13ae5137001dac,5820b675fc13ae5137001dbe,low,5820b81bfc13ae5137002442,pending
5820b8befc13ae5125002372,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,28/1/2017,3:23 PM,3/25/2017,5820b675fc13ae5137001e2f,5820b675fc13ae5137001e2b,5820b675fc13ae5137001dab,low,5820b81afc13ae5137002433,pending
5820b8befc13ae5125002373,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,23/5/2017,8:37 AM,4/1/2017,5820b675fc13ae5137001e4e,5820b675fc13ae5137001daf,5820b675fc13ae5137001db9,normal,5820b81bfc13ae5137002460,done
5820b8befc13ae5125002374,nulla sed accumsan felis ut at dolor quis odio consequat varius integer,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,16/5/2017,4:18 PM,4/27/2017,5820b675fc13ae5137001d98,5820b675fc13ae5137001e45,5820b675fc13ae5137001de6,low,5820b819fc13ae5137002355,done
5820b8befc13ae5125002375,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,8/5/2017,4:43 PM,2/25/2017,5820b675fc13ae5137001e4c,5820b675fc13ae5137001e5b,5820b675fc13ae5137001e2c,high,5820b81cfc13ae51370024d9,pending
5820b8befc13ae5125002376,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,12/5/2017,10:08 AM,5/26/2017,5820b675fc13ae5137001e17,5820b675fc13ae5137001d8e,5820b676fc13ae5137001e8d,normal,5820b81cfc13ae51370024c6,done
5820b8befc13ae5125002377,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,19/5/2017,11:27 AM,3/17/2017,5820b675fc13ae5137001e6a,5820b675fc13ae5137001db4,5820b675fc13ae5137001df3,high,5820b81bfc13ae5137002455,failed
5820b8befc13ae5125002378,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,8/4/2017,4:34 PM,3/27/2017,5820b675fc13ae5137001e54,5820b675fc13ae5137001e55,5820b675fc13ae5137001e34,normal,5820b81afc13ae5137002406,failed
